               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.054092,            0.047145,            0.017989,             0.31158,             0.22974,             0.21323,            0.098891,            0.060367,            0.029495,            0.028366,           0.0049675,           0.0049675,           0.0049675
                  63,            0.054063,            0.047549,             0.01797,             0.36096,             0.24098,             0.22446,             0.10554,            0.060179,            0.029492,            0.029159,            0.004885,            0.004885,            0.004885
                  64,            0.053779,            0.047357,            0.017455,              0.3073,             0.27699,             0.21452,            0.098283,            0.060479,             0.02928,             0.02953,           0.0048025,           0.0048025,           0.0048025
                  65,            0.053414,            0.047167,            0.018013,             0.31836,             0.28953,             0.23449,              0.1171,            0.060198,            0.029109,            0.028755,             0.00472,             0.00472,             0.00472
                  66,            0.053796,            0.046432,            0.017892,             0.29214,             0.28506,             0.21909,             0.10213,            0.059438,            0.029086,            0.028038,           0.0046375,           0.0046375,           0.0046375
                  67,            0.053366,             0.04641,            0.017309,             0.36851,             0.24875,             0.23168,             0.11358,            0.060242,            0.029261,            0.028145,            0.004555,            0.004555,            0.004555
                  68,            0.053225,            0.046389,             0.01714,             0.30128,             0.26078,             0.22627,              0.1078,            0.059881,              0.0294,            0.027984,           0.0044725,           0.0044725,           0.0044725
                  69,            0.053197,            0.046797,            0.016627,             0.30501,             0.26544,             0.22558,             0.10118,            0.060379,            0.029492,            0.028821,             0.00439,             0.00439,             0.00439
                  70,            0.053021,            0.046871,            0.016412,             0.36856,             0.23238,             0.21635,             0.10965,            0.060644,            0.029761,            0.029496,           0.0043075,           0.0043075,           0.0043075
                  71,            0.052772,            0.046677,            0.016063,             0.34192,              0.2481,             0.21981,             0.10732,            0.059484,            0.029328,            0.027628,            0.004225,            0.004225,            0.004225
                  72,            0.052643,            0.047038,            0.016521,             0.36312,             0.26793,             0.24453,             0.12288,            0.059788,            0.029206,            0.028761,           0.0041425,           0.0041425,           0.0041425
                  73,            0.052206,            0.046887,            0.015894,             0.34947,              0.2666,             0.24345,             0.11354,            0.059829,            0.029554,            0.029625,             0.00406,             0.00406,             0.00406
                  74,            0.051699,            0.046003,            0.015984,             0.31699,               0.251,             0.22624,             0.10875,            0.059938,            0.029786,              0.0292,           0.0039775,           0.0039775,           0.0039775
                  75,            0.051652,            0.045891,            0.015475,             0.35985,             0.29416,             0.24379,             0.11806,            0.060107,            0.029345,            0.028482,            0.003895,            0.003895,            0.003895
                  76,            0.051806,            0.046118,            0.015157,             0.33798,             0.26419,             0.23688,             0.11791,            0.060028,            0.029807,            0.028137,           0.0038125,           0.0038125,           0.0038125
                  77,            0.051693,            0.045424,             0.01558,             0.35516,             0.27558,              0.2455,             0.12341,            0.059653,            0.029932,            0.028532,             0.00373,             0.00373,             0.00373
                  78,            0.051143,             0.04573,            0.014827,             0.38572,              0.2659,             0.24032,             0.11938,            0.060733,            0.029431,            0.028513,           0.0036475,           0.0036475,           0.0036475
                  79,            0.051437,            0.044947,            0.015009,             0.41725,             0.26338,             0.25038,             0.11894,            0.060418,            0.029877,            0.028298,            0.003565,            0.003565,            0.003565
                  80,            0.051461,            0.045493,            0.014965,             0.35564,             0.26331,              0.2393,             0.11715,            0.059723,             0.02988,            0.028812,           0.0034825,           0.0034825,           0.0034825
                  81,            0.051442,            0.045172,            0.014731,             0.34211,             0.28505,             0.24357,             0.11781,             0.05994,             0.02984,            0.028426,              0.0034,              0.0034,              0.0034
                  82,            0.050573,            0.045972,            0.014274,             0.33337,             0.27315,             0.24166,             0.11809,            0.060002,            0.030011,             0.02778,           0.0033175,           0.0033175,           0.0033175
                  83,             0.05054,             0.04504,            0.014353,             0.37254,             0.27129,             0.24536,             0.11719,            0.059736,                0.03,            0.028938,            0.003235,            0.003235,            0.003235
                  84,            0.050224,            0.045024,            0.014309,             0.37979,             0.26114,              0.2405,             0.11984,            0.060621,             0.03042,            0.027775,           0.0031525,           0.0031525,           0.0031525
                  85,            0.050245,            0.044933,            0.013984,             0.35371,             0.29315,             0.24328,             0.12146,            0.060138,            0.030319,            0.027788,             0.00307,             0.00307,             0.00307
                  86,            0.050191,            0.044763,            0.014319,             0.36571,             0.29625,             0.25298,             0.12261,            0.060178,            0.029942,            0.028149,           0.0029875,           0.0029875,           0.0029875
                  87,            0.049599,            0.044596,            0.013577,             0.37845,             0.27127,             0.24104,             0.11748,            0.059897,            0.030306,            0.028219,            0.002905,            0.002905,            0.002905
                  88,            0.049747,            0.043968,            0.013637,             0.42169,             0.27233,             0.25961,             0.12741,            0.059658,            0.030386,            0.028138,           0.0028225,           0.0028225,           0.0028225
                  89,             0.04967,            0.044523,             0.01349,             0.41444,             0.26874,             0.25508,             0.12995,            0.060345,            0.030135,            0.028366,             0.00274,             0.00274,             0.00274
                  90,            0.049409,            0.044059,            0.013324,             0.39157,              0.2755,             0.25536,              0.1271,            0.060087,            0.030475,            0.028023,           0.0026575,           0.0026575,           0.0026575
                  91,            0.049248,            0.043982,            0.013006,             0.37606,             0.28862,             0.25504,              0.1266,            0.060349,             0.03062,            0.027507,            0.002575,            0.002575,            0.002575
