               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.050525,            0.058784,            0.015259,             0.52938,             0.43323,             0.43705,             0.25319,            0.046439,            0.032188,            0.014309,            0.007987,            0.007987,            0.007987
                  63,            0.050523,            0.058263,            0.015333,             0.52745,             0.43946,             0.43789,             0.25344,            0.046409,            0.032169,            0.014288,            0.007954,            0.007954,            0.007954
                  64,            0.050523,            0.058814,            0.015083,             0.52919,             0.43846,             0.43825,             0.25446,            0.046381,            0.032154,            0.014269,            0.007921,            0.007921,            0.007921
                  65,            0.050367,            0.058706,            0.015166,             0.53442,             0.43451,             0.44049,             0.25518,             0.04635,            0.032134,            0.014252,            0.007888,            0.007888,            0.007888
                  66,            0.050497,             0.05857,            0.015011,             0.53076,             0.43652,             0.44129,              0.2558,            0.046317,            0.032117,            0.014233,            0.007855,            0.007855,            0.007855
                  67,            0.050313,            0.058763,            0.014873,             0.53178,             0.43891,             0.44324,             0.25647,            0.046285,            0.032098,            0.014207,            0.007822,            0.007822,            0.007822
                  68,            0.050273,            0.058554,            0.014953,              0.5344,             0.44021,             0.44483,             0.25731,            0.046251,            0.032078,            0.014181,            0.007789,            0.007789,            0.007789
                  69,            0.050125,            0.058738,            0.014743,             0.53596,             0.44328,             0.44584,             0.25758,            0.046223,            0.032059,            0.014158,            0.007756,            0.007756,            0.007756
                  70,            0.049954,             0.05849,            0.014659,             0.53495,             0.44384,             0.44713,              0.2582,            0.046198,            0.032041,            0.014136,            0.007723,            0.007723,            0.007723
                  71,            0.050067,            0.058456,            0.014629,              0.5283,             0.44875,               0.447,             0.25895,            0.046172,            0.032026,            0.014119,             0.00769,             0.00769,             0.00769
                  72,            0.050059,            0.058419,            0.014576,             0.53004,             0.44854,             0.44819,             0.25947,            0.046146,            0.032012,            0.014098,            0.007657,            0.007657,            0.007657
                  73,            0.049902,            0.058128,            0.014523,             0.53174,               0.451,             0.44871,             0.25962,            0.046121,            0.031996,            0.014072,            0.007624,            0.007624,            0.007624
                  74,            0.049867,            0.058094,            0.014548,             0.54483,             0.44368,             0.44931,             0.26005,              0.0461,            0.031979,            0.014053,            0.007591,            0.007591,            0.007591
                  75,            0.049865,            0.057818,            0.014547,             0.53788,             0.44514,             0.45002,             0.26023,             0.04608,            0.031963,            0.014032,            0.007558,            0.007558,            0.007558
                  76,            0.049716,             0.05822,            0.014454,             0.54062,             0.44742,             0.45116,             0.26128,            0.046058,            0.031947,            0.014013,            0.007525,            0.007525,            0.007525
                  77,            0.049613,            0.057806,            0.014387,             0.53274,             0.45455,             0.45247,             0.26193,            0.046035,            0.031933,            0.013991,            0.007492,            0.007492,            0.007492
                  78,            0.049623,             0.05817,            0.014241,             0.53103,             0.45713,             0.45269,             0.26322,            0.046018,            0.031915,            0.013975,            0.007459,            0.007459,            0.007459
                  79,            0.049545,            0.058087,             0.01427,             0.52961,             0.45805,             0.45347,             0.26362,            0.045995,              0.0319,            0.013951,            0.007426,            0.007426,            0.007426
                  80,            0.049729,            0.058226,            0.014232,             0.53247,             0.45722,             0.45393,             0.26418,            0.045974,            0.031886,             0.01393,            0.007393,            0.007393,            0.007393
                  81,            0.049504,            0.057959,             0.01415,             0.53592,             0.45454,             0.45508,             0.26438,            0.045952,            0.031871,            0.013916,             0.00736,             0.00736,             0.00736
                  82,             0.04937,            0.057979,            0.014021,             0.53738,             0.45634,             0.45613,             0.26474,            0.045931,            0.031858,            0.013902,            0.007327,            0.007327,            0.007327
                  83,            0.049354,            0.057621,            0.013906,             0.54213,             0.45108,             0.45636,             0.26501,            0.045911,            0.031846,            0.013888,            0.007294,            0.007294,            0.007294
                  84,            0.049218,             0.05806,            0.013837,             0.54356,             0.45089,              0.4568,             0.26583,            0.045892,            0.031835,            0.013867,            0.007261,            0.007261,            0.007261
                  85,            0.049207,            0.057551,            0.013868,             0.54374,             0.45492,             0.45714,             0.26665,            0.045873,            0.031822,            0.013854,            0.007228,            0.007228,            0.007228
                  86,            0.049239,            0.057863,            0.013927,             0.55188,             0.45197,             0.45755,             0.26697,            0.045853,            0.031811,            0.013835,            0.007195,            0.007195,            0.007195
                  87,            0.049177,            0.057527,            0.013933,             0.55573,             0.44728,              0.4583,             0.26754,            0.045834,            0.031806,            0.013819,            0.007162,            0.007162,            0.007162
                  88,            0.049357,            0.057927,            0.013747,             0.55269,             0.45345,             0.45857,             0.26751,            0.045811,            0.031795,            0.013799,            0.007129,            0.007129,            0.007129
                  89,            0.049177,            0.057487,            0.013706,             0.55096,             0.45514,             0.45925,             0.26814,            0.045788,            0.031789,            0.013788,            0.007096,            0.007096,            0.007096
                  90,            0.048967,            0.057228,            0.013727,             0.54927,             0.45882,             0.45973,             0.26854,            0.045765,             0.03178,            0.013778,            0.007063,            0.007063,            0.007063
                  91,            0.049051,            0.057773,            0.013577,             0.54982,               0.458,             0.46076,             0.26904,            0.045746,            0.031771,            0.013775,             0.00703,             0.00703,             0.00703
                  92,            0.048831,            0.057123,            0.013511,             0.55658,             0.45107,              0.4615,             0.26978,            0.045723,             0.03176,            0.013767,            0.006997,            0.006997,            0.006997
                  93,            0.048881,            0.057469,            0.013489,             0.55933,             0.45137,             0.46224,             0.27028,            0.045707,            0.031753,            0.013761,            0.006964,            0.006964,            0.006964
                  94,            0.048648,            0.057498,            0.013516,             0.55749,             0.45501,              0.4633,             0.27093,            0.045684,            0.031745,            0.013749,            0.006931,            0.006931,            0.006931
                  95,            0.048539,            0.057267,            0.013361,              0.5557,             0.45583,             0.46349,             0.27064,            0.045665,            0.031737,            0.013741,            0.006898,            0.006898,            0.006898
                  96,            0.048808,              0.0572,            0.013392,             0.55703,             0.45544,             0.46369,             0.27111,            0.045646,            0.031731,            0.013733,            0.006865,            0.006865,            0.006865
                  97,            0.048654,            0.056998,            0.013198,             0.56364,             0.45384,             0.46371,             0.27167,            0.045625,            0.031721,            0.013723,            0.006832,            0.006832,            0.006832
                  98,            0.048652,            0.057075,            0.013293,             0.57215,             0.45262,             0.46385,             0.27149,            0.045608,            0.031712,            0.013718,            0.006799,            0.006799,            0.006799
                  99,            0.048581,            0.057248,             0.01312,             0.57681,             0.45175,             0.46513,             0.27243,            0.045591,            0.031699,            0.013713,            0.006766,            0.006766,            0.006766
                 100,            0.048565,            0.056526,            0.013075,             0.57158,              0.4542,             0.46596,             0.27285,            0.045576,            0.031695,            0.013706,            0.006733,            0.006733,            0.006733
                 101,            0.048419,            0.056744,            0.013135,             0.57162,             0.45301,             0.46561,             0.27272,            0.045563,            0.031691,            0.013696,              0.0067,              0.0067,              0.0067
                 102,            0.048489,            0.056962,             0.01315,             0.57089,             0.45362,             0.46613,             0.27322,             0.04555,            0.031685,            0.013698,            0.006667,            0.006667,            0.006667
                 103,            0.048402,            0.057061,             0.01298,              0.5679,             0.45324,             0.46587,             0.27305,            0.045537,            0.031684,             0.01369,            0.006634,            0.006634,            0.006634
                 104,            0.048452,            0.056709,            0.013024,             0.57019,             0.45261,             0.46657,             0.27346,            0.045523,            0.031679,            0.013689,            0.006601,            0.006601,            0.006601
                 105,            0.048341,             0.05688,            0.012845,             0.56481,             0.45741,              0.4667,             0.27422,            0.045509,            0.031674,            0.013685,            0.006568,            0.006568,            0.006568
                 106,            0.048148,            0.056976,            0.012928,             0.56591,             0.45719,             0.46678,             0.27438,            0.045497,            0.031671,             0.01368,            0.006535,            0.006535,            0.006535
                 107,            0.048152,            0.056532,            0.012923,             0.56756,              0.4571,             0.46779,              0.2748,            0.045485,             0.03167,            0.013679,            0.006502,            0.006502,            0.006502
                 108,            0.048105,             0.05676,             0.01283,             0.56719,             0.45969,             0.46823,             0.27517,            0.045475,             0.03167,            0.013681,            0.006469,            0.006469,            0.006469
                 109,             0.04805,            0.056206,            0.012921,             0.57038,             0.46012,             0.46844,             0.27572,            0.045464,            0.031666,            0.013679,            0.006436,            0.006436,            0.006436
                 110,            0.048074,            0.056432,            0.012754,                0.57,             0.45884,             0.46861,             0.27588,            0.045446,            0.031657,             0.01367,            0.006403,            0.006403,            0.006403
                 111,            0.047984,            0.056379,            0.012608,             0.56681,             0.45931,               0.469,             0.27619,            0.045431,            0.031651,            0.013668,             0.00637,             0.00637,             0.00637
